umap_x,umap_y,umap_z,department,culture,medium,object_name,object_begin_date
-3.1323807,-2.4583566,-1.0149649,Photographs,Unknown,Platinum print,Photograph,1907
-2.3884282,5.6449037,-1.6268406,Photographs,Unknown,Film negative,Negative,1926
-1.1225109,0.11721073,0.9696365,The American Wing,American,Watercolor on wove paper laid down to thick pulpboard,Watercolor,1869
-5.0867157,5.7239027,1.4240633,Asian Art,Japan,Hanging scroll; ink and color on silk,Hanging scroll,1744
-6.761407,-3.0767415,8.075479,European Sculpture and Decorative Arts,Italian,"Needle lace, punto avorio",Border,1600
-0.8083866,-2.319574,5.9743357,Greek and Roman Art,"Egyptian, Roman",Glass,Mosaic block inlay,-99
-6.4492097,-0.49819905,8.317158,Costume Institute,British,Tyvek,Dress,1999
0.7154663,-2.2102623,-0.6143685,Drawings and Prints,Unknown,"Pen and black ink,  touches of brown ink, and gray wash",Drawing,1730
10.1483135,-2.3995078,5.971828,Drawings and Prints,Unknown,Commercial color lithograph,Print; ephemera,1906
2.3268733,3.896539,1.0930673,Photographs,Unknown,Film negative,Negative,1934
-4.0063415,-16.11343,3.6918766,Drawings and Prints,Unknown,Commercial color lithograph,Print,1910
2.03387,-10.938109,-1.9281453,Asian Art,Japan,Silk,Piece,1700
-4.3851595,-1.9471087,-1.3160324,Drawings and Prints,Unknown,Color lithograph,Print,1969
4.5953484,5.5003476,-3.2825322,Islamic Art,Unknown,Silver and gold,Bracelet,1700
-5.6547127,-2.4837794,-6.829744,Medieval Art,Coptic,Limestone with ink inscription,Ostrakon,580
-0.18279402,8.720248,12.289635,Drawings and Prints,Unknown,Photograph,Photograph,1899
10.920686,-4.010689,-0.46220794,Drawings and Prints,Unknown,Etching,Print,1771
-5.991692,7.8490834,-7.201744,Asian Art,Japan,Earthenware,Head,-1500
4.601876,3.4925559,1.4548366,Drawings and Prints,Unknown,Etching,Print,1800
-2.7208986,2.6978061,8.173777,The American Wing,American,Earthenware,Vase,1905
2.6693184,3.3204055,-7.3974824,Costume Institute,French,"a,b) leather, elastic",Gloves,1940
-2.3837032,-1.63718,14.97581,Asian Art,Korea,Stoneware with incised decoration of lotus flowers,Vase,1200
